name,Proposed_psnr,Proposed_ssim,Proposed_lpips,Proposed_dists,ELAN_psnr,ELAN_ssim,ELAN_lpips,ELAN_dists,EDSR_psnr,EDSR_ssim,EDSR_lpips,EDSR_dists,SwinIR_psnr,SwinIR_ssim,SwinIR_lpips,SwinIR_dists,DAT_psnr,DAT_ssim,DAT_lpips,DAT_dists,GRL_psnr,GRL_ssim,GRL_lpips,GRL_dists,ESRGAN_psnr,ESRGAN_ssim,ESRGAN_lpips,ESRGAN_dists
CT-0__patient102__17.png,31.64379584220408,0.93529215317118,0.0469084717333316,0.0897818207740783,26.538152491485548,0.8829453343759996,0.1021844670176506,0.1551944017410278,29.749342279852936,0.9190839175164146,0.0589068904519081,0.1089087128639221,26.53714091599424,0.8928976070049434,0.0886023789644241,0.1444448828697204,30.871606774856257,0.9275524972946414,0.0552237778902053,0.1023521423339843,30.83919063198962,0.92950064791638,0.0529828667640686,0.1006773710250854,28.36648399402673,0.8836500216623872,0.0382269769906997,0.0725383758544921
CT-0__patient102__19.png,32.119426606651864,0.9390108644171408,0.046935100108385,0.0887254476547241,27.443845236876044,0.8899524539984152,0.0936521515250206,0.1462001204490661,30.667061816376737,0.9255071147431162,0.0598665252327919,0.1007556319236755,27.787882446062287,0.901283504649224,0.0799883976578712,0.1340090036392212,31.50320548053893,0.9319867408600028,0.0574310198426246,0.1002457737922668,31.668154520019005,0.9344227386079108,0.0551671460270881,0.0954947471618652,28.68392569997291,0.8879856911398469,0.041546307504177,0.0704537630081176
CT-0__patient102__21.png,31.19634236180651,0.9333554517218268,0.0586147606372833,0.0982254147529602,27.514196892728087,0.8911232853482711,0.0986768305301666,0.1476617455482483,30.06133996792924,0.9204119132236268,0.0703061074018478,0.109886348247528,27.90776073558428,0.9013110854381052,0.090905100107193,0.1415701508522033,30.792228401387867,0.9269070199361636,0.066974900662899,0.1072021722793579,30.699945517498584,0.9283486726024404,0.0672348216176033,0.1078335046768188,28.674013147820027,0.8870109061019191,0.0437687784433364,0.0632185935974121
CT-0__patient102__23.png,31.556100091317653,0.9356872684807708,0.0506922975182533,0.1003260612487793,27.07952247556173,0.8883016618219556,0.0921697467565536,0.1455853581428527,30.029874937238237,0.9214951157824444,0.0604593604803085,0.1103391647338867,27.77005390634235,0.9016762703981422,0.0782525613903999,0.1376546025276184,30.660413935464906,0.927388518488034,0.0601624250411987,0.1071791052818298,30.570356953388227,0.930049878049452,0.0569060146808624,0.1034024953842163,28.587357485209687,0.8876921251027279,0.0383766964077949,0.0696086883544921
CT-0__patient102__25.png,32.28708209218738,0.94010194258246,0.0466956980526447,0.0981085300445556,27.746808606816384,0.8964053965906558,0.0946050062775611,0.154876708984375,30.725771082112367,0.925811585687161,0.0593134462833404,0.1105707883834838,28.217362727215217,0.9075519949908228,0.0801502466201782,0.1352068185806274,31.72422245631524,0.9337288151489191,0.0565421506762504,0.1036713719367981,31.64982956454828,0.9348393948355592,0.0559406913816928,0.1031243801116943,29.620763289292302,0.8933281537748676,0.0376159213483333,0.0687924623489379
CT-0__patient115__18.png,31.235050534154976,0.9278747790727584,0.0563674941658973,0.0979434251785278,27.70394504593263,0.878128400713766,0.1001666039228439,0.1442649364471435,30.05565468415804,0.9121309442166085,0.0703248307108879,0.1064681410789489,28.118807552453863,0.8893735494301901,0.0920132175087928,0.1398831009864807,30.727546356978515,0.9203077953758402,0.0668789073824882,0.1054086685180664,30.74823655608322,0.9218110618339922,0.0657294988632202,0.1014439463615417,28.77483151263517,0.8752786967718769,0.0453449338674545,0.0680341124534607
CT-0__patient115__20.png,31.1736606817152,0.9239812147944484,0.0654014572501182,0.0869204998016357,26.62882294844113,0.8704544782799015,0.120867446064949,0.148364245891571,29.29553056149929,0.9042598566400728,0.085677295923233,0.1001793146133422,26.924888249154257,0.8819310283997255,0.1091342791914939,0.1361951828002929,30.294107977582755,0.9142838477524392,0.0798482373356819,0.0937122702598571,30.42289603481132,0.9172210444270824,0.0766308903694152,0.0931875705718994,28.26220646952653,0.8726413597115555,0.0563164316117763,0.0725854635238647
CT-0__patient115__22.png,30.709539917903573,0.9262185312448976,0.0655921846628189,0.0909577012062072,26.532026414238324,0.8750387050945956,0.1268280744552612,0.1577249765396118,29.067897394158777,0.907220772401114,0.0810161381959915,0.1078366041183471,26.757611178410897,0.8843506344884989,0.1127775982022285,0.1503976583480835,30.07607730833869,0.9173352855608674,0.0743020251393318,0.0956147313117981,29.990265451379475,0.9195496328547216,0.0750525891780853,0.0966466665267944,28.223872782516672,0.8728541809264704,0.05680463463068,0.0617291927337646
CT-0__patient115__24.png,31.277479347967912,0.926090812991376,0.059871856123209,0.1031686067581176,27.206581815894506,0.8783572995655601,0.1110920906066894,0.1566972732543945,29.881836086627548,0.9102185569324576,0.0746252834796905,0.1192455291748046,27.651362702642302,0.8884416670579691,0.0942598059773445,0.1540325284004211,30.565811261015977,0.9175322497818276,0.0709001719951629,0.1106593012809753,30.811015680340248,0.9205001344930098,0.0669949352741241,0.1122051477432251,28.91915260051348,0.8722084540192032,0.0519015304744243,0.0722628831863403
CT-0__patient115__26.png,32.96385116079118,0.9358624231020868,0.0516802556812763,0.0852214097976684,27.1318081000098,0.8856733753410735,0.1036304011940956,0.1419239044189453,30.79682257229111,0.917992272104486,0.0715620070695877,0.1037505865097045,27.89737675343804,0.8985359289776635,0.0879270881414413,0.1359367370605468,31.90910141168393,0.9271162014908184,0.0667583346366882,0.0991092920303344,31.841075870450943,0.9286978634448396,0.0642794817686081,0.0935283899307251,29.79851646221489,0.8856531577753508,0.0489554554224014,0.0640727877616882
CT-0__patient121__18.png,32.489626398244724,0.9315726452199994,0.0492386855185031,0.0907667875289917,28.90133883102361,0.886217139811833,0.0924199149012565,0.1464759111404419,31.159238146205126,0.9182624514487034,0.0618233717978,0.0999549627304077,29.345074015071084,0.8991247192255589,0.0818747952580452,0.1413161158561706,31.90808670895261,0.9249801324295588,0.0578787699341774,0.0985969901084899,32.27245521922451,0.9289486649110829,0.0563578717410564,0.0959781408309936,30.04916444806616,0.8885411703362776,0.0387873798608779,0.0753059387207031
CT-0__patient121__20.png,30.63537417047698,0.9164870331118556,0.0578876808285713,0.1056505441665649,27.586860306824548,0.8677995815264425,0.1115926131606102,0.1695188879966735,29.441985804396875,0.9002803728840202,0.0727695450186729,0.122034728527069,27.98611167572533,0.880408559406896,0.0981625914573669,0.1655663251876831,29.98037312134749,0.9060731472625426,0.0738872438669204,0.1248643398284912,30.232542139333603,0.910060145002906,0.0707518905401229,0.1130204796791076,28.473969944663843,0.8681436552579114,0.0473648123443126,0.0842644572257995
CT-0__patient121__22.png,30.02653717386121,0.9121644395998574,0.0614412650465965,0.1128079891204834,27.088595415457647,0.8624629227593525,0.1090031713247299,0.1778566241264343,29.050356484449168,0.8975887136690435,0.0760725140571594,0.1144450306892395,27.419075840139044,0.8742183324879871,0.1011749655008316,0.1687164902687072,29.56867380672091,0.9043519476617672,0.0708195716142654,0.1162928342819213,29.578104850965808,0.9067061461504932,0.0669695436954498,0.1178159117698669,27.91397592128827,0.8621324451346734,0.04405352845788,0.0770434737205505
CT-0__patient121__24.png,29.78179176839451,0.909549402771355,0.0760913416743278,0.1096522212028503,27.25625336723867,0.8595239796336351,0.1167098954319953,0.1679515838623047,28.766690082502777,0.8946963828028685,0.0874460637569427,0.1214487552642822,27.53258334059593,0.8715439089580328,0.1104349792003631,0.1717705726623535,29.42423133317405,0.9020931462595496,0.0831573456525802,0.1199874877929687,29.366680500570663,0.9035648824728744,0.0823398903012275,0.1152237653732299,27.73316673816243,0.8598913498860645,0.0549403615295887,0.0811927914619445
CT-0__patient121__26.png,30.35433025514489,0.9089375507652712,0.0746460258960723,0.1031647324562072,27.1148759368422,0.8533361806017608,0.1236396729946136,0.1646120548248291,29.35761064497037,0.8929553266636923,0.0874861702322959,0.1106336116790771,27.568341043826138,0.8678821525225411,0.1134562790393829,0.1571202278137207,29.882112018439493,0.8998563135267257,0.0839761719107627,0.110419750213623,30.089702468084447,0.9036171839739394,0.0841585770249366,0.1053922176361084,28.185133001882143,0.8580912286183053,0.052998311817646,0.0687991380691528
CT-0__patient123__18.png,30.815484091427237,0.9127728421539508,0.0597803965210914,0.0952333807945251,27.358691715765858,0.856564290856091,0.1030340641736984,0.1499335765838623,29.61968658211133,0.8950920294957132,0.0733671560883522,0.1253793239593505,27.98640934855132,0.8711826892895533,0.0909853279590606,0.1613209247589111,30.456380707430945,0.9049374882848734,0.0692369937896728,0.1059641242027282,30.4261086932004,0.9044791284310062,0.0688751712441444,0.1028529405593872,28.728704301293547,0.8655739745782544,0.0460901595652103,0.0582832098007202
CT-0__patient123__20.png,30.79317622271911,0.9119125509670816,0.0553497970104217,0.1058173179626464,27.35935929462432,0.858269908924606,0.1067478582262992,0.2443416118621826,29.63318148902446,0.8945596919433373,0.0700347200036048,0.2062328457832336,27.920619768334674,0.8706213118767991,0.0880061984062194,0.2685776352882385,30.253628387502843,0.902675004931686,0.0640949606895446,0.2007741332054138,30.19891825617112,0.9017335215917538,0.0654640719294548,0.1492620110511779,28.53919503831704,0.859405195762927,0.0479598753154277,0.0680348873138427
CT-0__patient123__22.png,30.264127825750403,0.9096640583690674,0.0646279007196426,0.100027322769165,26.75517445478496,0.8501340089579908,0.1177054420113563,0.1773697733879089,29.265760252404828,0.8914033500808395,0.0768502652645111,0.1958580017089843,27.336267672317977,0.8632814398326315,0.1018245816230773,0.2067038416862487,29.863112166447728,0.8996985802238541,0.0717664957046508,0.1215960383415222,29.804792431963374,0.8998707822915943,0.0727010443806648,0.1043746471405029,28.205046720451318,0.8589984097273914,0.0444543994963169,0.0683760046958923
CT-0__patient123__24.png,30.1503818795314,0.907215446427838,0.0693030506372451,0.1015334129333496,27.361502696207825,0.8592948705913864,0.1172153875231742,0.1688325405120849,29.17849852291543,0.8910630941659959,0.0821673423051834,0.1698659062385559,27.917501800943683,0.8706681284321011,0.1014052331447601,0.1830381751060485,29.83092933145549,0.8984379507760405,0.0781474411487579,0.1191709041595459,29.78608967225357,0.8997988472056975,0.0771368816494941,0.1091671586036682,28.11543997253743,0.8555452113827334,0.0482869632542133,0.0712308287620544
CT-0__patient123__26.png,30.85454477982395,0.9136149860215655,0.0678282231092453,0.094957411289215,27.5705734978852,0.8664198951660039,0.1127451881766319,0.1572215557098388,29.781209468091166,0.8972298558838677,0.0801901221275329,0.1690402030944824,28.233967205098992,0.8782093552021628,0.1001863703131675,0.1729215383529663,30.60854957645498,0.905222208538602,0.0778591185808181,0.1103020310401916,30.49976104294911,0.9070936386274132,0.079473540186882,0.102536916732788,28.75831683167168,0.8609661222924802,0.051825888454914,0.0670675039291381
