Metric,Friedman χ²,p-value,Kendall's W
PSNR,6555.8023166023195,0.0,0.9843547021925405
SSIM,6544.284169884173,0.0,0.9826252507333593
LPIPS,6429.366795366797,0.0,0.9653703896947143
DISTS,6115.0795366795355,0.0,0.9181801106125429
